Contrast,Correlation,Homogeneity,Energy,Dissimilarity,Entropy,Mean,Variance,Standard Deviation,Type
0.70035011,0.872212111,0.987283461,0.873435011,0.100469362,0.293710407,1.416455174,2.740283594,1.655380196,1
0.514526828,0.952198248,0.990667392,0.769558424,0.073795696,0.435055997,1.879485554,5.381882518,2.319888471,1
0.526345157,0.408941385,0.990416287,0.970520022,0.075567955,0.095621039,1.064388202,0.445256312,0.667275289,1
1.352103175,0.881623078,0.975548115,0.739276986,0.193769841,0.516740958,1.94327381,5.71100833,2.389771606,1
0.360042199,0.929730901,0.993425478,0.887770685,0.051716257,0.254555158,1.387584096,2.561881438,1.600587841,1
0.152445299,0.968570394,0.997246022,0.897878007,0.021849176,0.224216462,1.365583909,2.425186303,1.557300968,1
0.643084717,0.849813513,0.988362551,0.899170264,0.092158739,0.247168059,1.320686744,2.140953989,1.463199914,1
1.183463456,0.786209688,0.978549576,0.862506259,0.169696247,0.328376199,1.421042176,2.767813579,1.663674722,1
0.850393859,0.876059066,0.984542038,0.84211475,0.12203601,0.350046018,1.530584358,3.430641641,1.852199136,1
0.476469183,0.749664912,0.991299122,0.950962483,0.068442427,0.142822326,1.138895525,0.951662803,0.975532062,1
0.678135327,0.910283494,0.987719357,0.831626424,0.09721545,0.357246256,1.589761092,3.779323086,1.944048118,1
0.361445165,0.961844379,0.993406952,0.798996769,0.051909483,0.386213564,1.759091553,4.73646028,2.17634103,1
0.648226198,0.952033348,0.988204515,0.710658377,0.093044638,0.519120473,2.156625034,6.757050634,2.599432752,1
1.210425634,0.899348318,0.978059669,0.729618767,0.173601148,0.524324728,2.003068707,6.012942918,2.452130282,1
0.691429183,0.884896972,0.987434368,0.862859358,0.099208048,0.310547057,1.459446857,3.003523006,1.733067513,1
0.498342785,0.935821894,0.990949371,0.83107352,0.071499685,0.349109221,1.607522842,3.882498385,1.97040564,1
1.417820733,0.85411619,0.97437545,0.772807425,0.203143523,0.472964495,1.781822239,4.859417697,2.204408695,1
1.494396611,0.841446873,0.973010504,0.77733886,0.214090474,0.469145726,1.754954216,4.71260529,2.170853586,1
0.964242135,0.90891913,0.982499072,0.763937733,0.138309725,0.46729707,1.862822077,5.293329635,2.30072372,1
1.182248911,0.899570939,0.978424881,0.734821078,0.169783115,0.517672678,1.97791882,5.885990074,2.426105949,1
0.428470946,0.730536525,0.99223569,0.958471567,0.061443514,0.124161344,1.115603658,0.795044571,0.891652719,1
0.877017958,0.867093083,0.98409395,0.846950551,0.12575471,0.342839064,1.508512347,3.29936912,1.81641656,1
